region,internal,internal,internal
field,phi,Exact[phi],Diff[phi]
component,L2,L2,L2
t, , , 
3.43,2.76479755387481,3.4186156924551296,1.1177769016667605
3.45,2.754198122087335,3.403073842385735,1.1129510180149504
3.47,2.7436676416338517,3.3883767565480807,1.1102242170865673
3.49,2.7332301286869356,3.374628712338829,1.1091865459695551
3.51,2.7229093291792816,3.3617607042476156,1.1090728765411748
3.53,2.712726998281968,3.349642029068654,1.109114620310958
3.55,2.7027014997649395,3.338176801531046,1.108816892082787
3.57,2.6928468022455916,3.3273534988254876,1.1080808243813918
3.59,2.683171906769368,3.3172385974401357,1.1071608753545268
3.61,2.673680699815766,3.3079270456364163,1.1065020072326193
3.63,2.664372191041961,3.2994755788674266,1.1065308710584183
3.65,2.655241068227739,3.291846911039847,1.1074776583965187
3.67,2.646278484290591,3.2848850421106195,1.1092840929089094
